"","treatment","comparator","median","boundLower","boundUpper","label","result"
"31","Apixaban_5_mg","Rivaroxaban_20_mg",1.02116099038089,0.780252086020806,1.3340050818368,"Apixaban 5 mg vs Rivaroxaban 20 mg","1.02 (0.78, 1.33)"
"32","Dabigatran_110_mg","Rivaroxaban_20_mg",1.18199708222055,0.893363637706876,1.57875061661183,"Dabigatran 110 mg vs Rivaroxaban 20 mg","1.18 (0.89, 1.58)"
"33","Dabigatran_150_mg","Rivaroxaban_20_mg",0.848336989912314,0.631279525600759,1.13512390314704,"Dabigatran 150 mg vs Rivaroxaban 20 mg","0.85 (0.63, 1.14)"
"34","Edoxaban_30_mg","Rivaroxaban_20_mg",1.0046337400315,0.764727906497642,1.32785751094238,"Edoxaban 30 mg vs Rivaroxaban 20 mg","1.00 (0.76, 1.33)"
"35","Edoxaban_60_mg","Rivaroxaban_20_mg",1.41046282446457,1.08771999800452,1.84873040270127,"Edoxaban 60 mg vs Rivaroxaban 20 mg","1.41 (1.09, 1.85)"
"36","Warfarin","Rivaroxaban_20_mg",1.28841452243127,1.06535542392869,1.56990301261364,"Warfarin vs Rivaroxaban 20 mg","1.29 (1.07, 1.57)"
"37","Apixaban_5_mg","Warfarin",0.792261395355332,0.659420587587908,0.948452148741751,"Apixaban 5 mg vs Warfarin","0.79 (0.66, 0.95)"
"38","Dabigatran_110_mg","Warfarin",0.914100264219785,0.745760157970263,1.12241491184774,"Dabigatran 110 mg vs Warfarin","0.91 (0.75, 1.12)"
"39","Dabigatran_150_mg","Warfarin",0.657779786368613,0.529595653815747,0.821251024635397,"Dabigatran 150 mg vs Warfarin","0.66 (0.53, 0.82)"
"40","Edoxaban_30_mg","Warfarin",0.780911045571615,0.63771588202298,0.943252630191532,"Edoxaban 30 mg vs Warfarin","0.78 (0.64, 0.94)"
"41","Edoxaban_60_mg","Warfarin",1.09393349554454,0.915121621072121,1.30907673413887,"Edoxaban 60 mg vs Warfarin","1.09 (0.92, 1.31)"
"42","Rivaroxaban_20_mg","Warfarin",0.776147724656946,0.636982024982012,0.938653877888303,"Rivaroxaban 20 mg vs Warfarin","0.78 (0.64, 0.94)"
