"label","result","treatment","comparator","median","boundLower","boundUpper"
"Dabigatran 110 mg vs Edoxaban 30 mg","1.02 (0.83, 1.25)","Dabigatran_110_mg","Edoxaban_30_mg",1.02139497146147,0.834313412982899,1.25244790867219
"Dabigatran 150 mg vs Edoxaban 30 mg","1.19 (0.98, 1.44)","Dabigatran_150_mg","Edoxaban_30_mg",1.18558091140273,0.976054515902758,1.44453444167032
"Edoxaban 60 mg vs Edoxaban 30 mg","0.59 (0.51, 0.70)","Edoxaban_60_mg","Edoxaban_30_mg",0.593148792439064,0.505615246325375,0.696693642096847
"Rivaroxaban 20 mg vs Edoxaban 30 mg","1.31 (1.07, 1.59)","Rivaroxaban_20_mg","Edoxaban_30_mg",1.30949284411213,1.07497333534094,1.58773462820877
"Warfarin vs Edoxaban 30 mg","1.27 (1.12, 1.46)","Warfarin","Edoxaban_30_mg",1.27323146289569,1.11750498048224,1.45787211490853
"Apixaban 5 mg vs Edoxaban 60 mg","1.22 (0.95, 1.57)","Apixaban_5_mg","Edoxaban_60_mg",1.22045542727462,0.950153283054471,1.57424351945473
"Dabigatran 110 mg vs Edoxaban 60 mg","1.72 (1.39, 2.13)","Dabigatran_110_mg","Edoxaban_60_mg",1.72110467001962,1.38653805073922,2.12898834682219
"Dabigatran 150 mg vs Edoxaban 60 mg","2.00 (1.63, 2.48)","Dabigatran_150_mg","Edoxaban_60_mg",1.99904953431648,1.62506549655447,2.47976844242651
"Edoxaban 30 mg vs Edoxaban 60 mg","1.69 (1.44, 1.98)","Edoxaban_30_mg","Edoxaban_60_mg",1.68591761923335,1.43535112074554,1.97778846122151
"Rivaroxaban 20 mg vs Edoxaban 60 mg","2.20 (1.78, 2.72)","Rivaroxaban_20_mg","Edoxaban_60_mg",2.2034799428507,1.78491264197305,2.72067491588776
"Warfarin vs Edoxaban 60 mg","2.15 (1.85, 2.50)","Warfarin","Edoxaban_60_mg",2.14873976295684,1.84536163944905,2.49801225647259
"Apixaban 5 mg vs Rivaroxaban 20 mg","0.55 (0.43, 0.71)","Apixaban_5_mg","Rivaroxaban_20_mg",0.553853038374612,0.432289875388261,0.706753739353014
"Dabigatran 110 mg vs Rivaroxaban 20 mg","0.78 (0.63, 0.96)","Dabigatran_110_mg","Rivaroxaban_20_mg",0.781361864444332,0.634849342834237,0.958565426778965
"Dabigatran 150 mg vs Rivaroxaban 20 mg","0.91 (0.74, 1.11)","Dabigatran_150_mg","Rivaroxaban_20_mg",0.907490266786814,0.740612100446489,1.10824697473118
"Edoxaban 30 mg vs Rivaroxaban 20 mg","0.76 (0.63, 0.93)","Edoxaban_30_mg","Rivaroxaban_20_mg",0.763654421248883,0.629828172941072,0.93025563251096
"Edoxaban 60 mg vs Rivaroxaban 20 mg","0.45 (0.37, 0.56)","Edoxaban_60_mg","Rivaroxaban_20_mg",0.453827593595554,0.367555856879615,0.560251508384519
"Warfarin vs Rivaroxaban 20 mg","0.97 (0.84, 1.12)","Warfarin","Rivaroxaban_20_mg",0.973514304791893,0.844552475222957,1.1246853349694
"Apixaban 5 mg vs Warfarin","0.57 (0.46, 0.70)","Apixaban_5_mg","Warfarin",0.569299279080491,0.464241680950613,0.695482151581796
"Dabigatran 110 mg vs Warfarin","0.80 (0.69, 0.93)","Dabigatran_110_mg","Warfarin",0.802061675981177,0.687446770969864,0.933903973482267
"Dabigatran 150 mg vs Warfarin","0.93 (0.80, 1.08)","Dabigatran_150_mg","Warfarin",0.931612583995165,0.804867184078392,1.07563357455585
"Edoxaban 30 mg vs Warfarin","0.79 (0.69, 0.89)","Edoxaban_30_mg","Warfarin",0.785403148713991,0.685931221109019,0.894850597953014
"Edoxaban 60 mg vs Warfarin","0.47 (0.40, 0.54)","Edoxaban_60_mg","Warfarin",0.465389070021173,0.400318292037561,0.541899202098164
"Rivaroxaban 20 mg vs Warfarin","1.03 (0.89, 1.18)","Rivaroxaban_20_mg","Warfarin",1.02720627224247,0.889137582670808,1.18405904823854
